S.No,Job Title,Company Name,Company URL,Salary,Location,Experience,Description,Tags
1,Java Developer with Spring and Azure Microservices,CGI,https://www.naukri.com/cgi-jobs-careers-217,Not disclosed,"Mumbai, Hyderabad, Pune, Chennai, Bengaluru",5-8 Yrs,"External Title: Java with Spring and Microservices Developer   Location Bangalore, Hy...","Business process, activemq, Automation, Backend, CGI, Postgresql, Apache, Spring"
2,Software Engineer - Angular - BLR,Photon,https://www.naukri.com/photon-jobs-careers-6946,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",6-9 Yrs,Location: Bangalore  Experience: 6 - 9 Years   Angular UI development is a must have....,"UI development, Spring, Software, UI, Angular, Software engineering, Development"
3,MS Architect (Dot Net),Hexaware Technologies,https://www.naukri.com/hexaware-technologies-jobs-careers-9815,Not disclosed,"Mumbai, Pune, Chennai",14-20 Yrs,"Strong experience in .NET framework, .NET core, Web API, Entity framework, ASP.NET, ASP...","Azure Paas, .Net Core, ASP.Net, MS Architect, microservices, Azure Functions, Functional, PAAS"
4,Hiring For SQL Developer,Atos,https://www.naukri.com/atos-jobs-careers-111,18-30 Lacs PA,"Hybrid - Pune, Chennai, Bengaluru",10-18 Yrs,Shift: US Shift Experience: 10+ years . Notice Period: Immediate to 60 Days . Max CTC: ...,"Servicenow, SQL, Automation Tools, Rest Api Integration, Scripting, Hiring, Tools, API"
5,Servicenow Developer,Infosys,https://www.naukri.com/infosys-jobs-careers-11244,Not disclosed,"Pune, Chennai, Bengaluru",3-8 Yrs,"and build POCs. You will create requirement specifications from the business needs, def...","Servicenow Development, Servicenow, ITAM, Hrsd, ITOM, CSM, Development"
6,Performance Test Lead,HCLTech,https://www.naukri.com/hcltech-jobs-careers-460,Not disclosed,"Pune, Chennai, Bengaluru",7-11 Yrs,We are looking for 7+ Years of experience only below that profile won't be consider.Lo...,"Performance Testing, JMeter, Load Runner, Software testing, Runner, Load, Performance"
7,Itil Process Consultant,Cognizant,https://www.naukri.com/cognizant-jobs-careers-2114,Not disclosed,"Hybrid - Pune, Chennai",9-14 Yrs,The ideal candidate will have extensive experience in ITIL Process Consultant ServiceNo...,"Servicenow, itil process Consultant, Itil Processes, ITIL Certified, ITIL Framework, ITIL Process, Process, Consulting"
8,Sap Fico Consultant,Tata Consultancy Services,https://www.naukri.com/tata-consultancy-services-jobs-careers-13542,Not disclosed,"Noida, Mumbai, Chennai",No Experience Info,Roles & Responsibilities: . Should have at least 2-3 implementation Exp in SAP FICO Sho...,"SAP FICO, GL, Ap, SAP, FICO, Consulting"
9,Software Engineer II,Concentrix,https://www.naukri.com/concentrix-jobs-careers-8018,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-10 Yrs,"The Software Engineer II will be responsible for the Concentrix Payhub Project, cont...","Front end, Version control, GIT, Software Engineer II, Agile, ASP.Net, SSL, Software solutions"
10,DOTNET FULLSTACK DEVELOPER,Majulah Infotech,https://www.naukri.com/majulah-infotech-jobs-careers-5437602,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",2-7 Yrs,"Expertise required in .NET Core, ASP.NET, C#, JavaScript, JQuery, and Web API REQUIREME...","Cloud computing, jQuery, Manager Quality Assurance, Coding, Project management, MySQL, Debugging, Javascript"
